1,皇后的戏服很贵有一套是40多万里面的衣服全手绣,0.452293,0.547707,0.045861,1
1,只有我看出来佘诗曼脸部浮肿皮肤松弛吗,0.39075,0.60925,0.131666,0
1,什么时候才能娶媳妇回家,0.529943,0.470057,0.401146,1
1,皇后帮你是情分不帮你是本分你也没资格怪人家大猪蹄子,0.304639,0.695361,0.323024,0
1,你们难道看不出来这是高贵妃买的人吗,0.0736085,0.926391,0.836425,0
3,竟然又更新了,0.341259,0.658741,0.241646,0
2,这么早的嘛?,0.463992,0.536008,0.279833,1
1,大猪蹄子是有丰富的胶原蛋白，这是在夸男人，知道吗,0.835265,0.164735,0.633922,2
4,更新这么早！太爽了,0.625184,0.374816,0.167076,2
4,朕的女孩们又见面了,0.593009,0.406991,0.0955755,2
4,最开心的一次恶意传播哈哈哈哈哈,0.958381,0.0416188,0.907514,2
4,不是说八点更新么真的是,0.103164,0.896836,0.770747,0
4,这小太监的声音，好惹人怜爱,0.477786,0.522214,0.555715,1
5,片尾好虐π_π,0.537786,0.462214,0.244279,1
6,45分就更新了,0.418445,0.581555,0.0701212,0
5,欧耶，我第一,0.612513,0.387487,0.138918,2
7,周一不是不更吗,0.0778223,0.922178,0.827062,0
7,我不管我可爱我第一,0.830113,0.169887,0.622472,2
7,金钱让我们相遇,0.538271,0.461729,0.23459,1
8,该我了，请注意标题,0.359961,0.640039,0.200086,0
7,每天更新啊,0.581559,0.418441,0.0701306,2
9,片头片尾都不舍得跳,0.35115,0.64885,0.219667,0
10,Justin你个大猪蹄子,0.460024,0.539976,0.200475,1
10,快让我领盒饭吧！！！,0.50992,0.49008,0.801599,1
11,小剧场我劝你善良,0.302973,0.697027,0.326726,0
11,每天更新两集,0.597948,0.402052,0.106551,2
11,大猪蹄子🐷,0.620561,0.379439,0.156801,2
11,不得了，升级了,0.526005,0.473995,0.479903,1
12,啦啦啦更新了,0.597096,0.402904,0.104659,2
12,又见面了！,0.635556,0.364444,0.190124,2
12,不喜欢这标题！！！！,0.222626,0.777374,0.505275,0
13,皇后是推水里了,0.435441,0.564559,0.0323534,0
14,大家晚上好,0.413844,0.586156,0.0803469,0
15,31级卡死了,0.354992,0.645008,0.211128,0
14,这是一部片头也不舍跳过的剧👏👏👏👏,0.590249,0.409751,0.0894425,2
15,牙是怎么肥四,0.373506,0.626494,0.169986,0
19,失恋的感觉,0.644118,0.355882,0.209151,2
16,本宫说天天更,0.597427,0.402573,0.105393,2
17,还没到8点哟,0.596082,0.403918,0.102403,2
22,今天更新这么早,0.535968,0.464032,0.280635,1
20,第一吗？男人都是大猪蹄子,0.478398,0.521602,0.567951,1
22,于妈这部剧确实可以,0.601672,0.398328,0.114827,2
18,攒了好几集今儿看,0.854219,0.145781,0.676043,2
22,为什么只更新了一集,0.396618,0.603382,0.118627,0
23,片头片尾是真的赞，用心了~,0.891441,0.108559,0.758758,2
23,提前了唉～,0.43784,0.56216,0.027022,0
23,追剧追的好辛苦,0.652359,0.347641,0.227464,2
23,七阿哥凉了,0.400866,0.599134,0.109187,0
25,我今天好早，,0.717057,0.282943,0.371238,2
23,开心开心，又更新了,0.819904,0.180096,0.599787,2
25,就开始看21集咯~~,0.534459,0.465541,0.310818,1
26,我醒了嘛？,0.535135,0.464865,0.297296,1
13,这么早更新啊,0.574895,0.425105,0.0553217,2
25,因为要等好几天所以讨好一下,0.519413,0.480587,0.611731,1
27,其实片头做的挺好的,0.793585,0.206415,0.541301,2
28,富贵让我们相遇,0.605114,0.394886,0.122475,2
28,对不起，来晚了！！,0.267828,0.732172,0.404828,0
29,怎么不能正常收看呢，怎么回事呀,0.199341,0.800659,0.55702,0
30,准备领盒饭了,0.396895,0.603105,0.118012,0
31,开始了！！,0.484716,0.515284,0.694327,1
29,画面感好强,0.602962,0.397038,0.117693,2
25,更新了！更新了！都出来！,0.580353,0.419647,0.0674514,2
32,这货不是死了吗,0.040891,0.959109,0.909131,0
32,皇后和明玉死的时候快哭死了,0.488231,0.511769,0.764614,1
33,大猪蹄子们好,0.777843,0.222157,0.506317,2
34,每天两集吗,0.519136,0.480864,0.617279,1
35,每天不够看！,0.255373,0.744627,0.432505,0
33,冷啊看一集好了,0.641218,0.358782,0.202707,2
35,什麽时候更新的呀,0.606924,0.393076,0.126497,2
36,哈喽先先看到了嘛？,0.773916,0.226084,0.497591,2
34,是要开虐了,0.475253,0.524747,0.505065,1
36,原来周二就更新啦！！！我还等到周四,0.56174,0.43826,0.0260884,2
