4,皇后娘娘心思可一天好啦好可爱呀,0.783881,0.216119,0.519736,2
1,能不能别再我面前发糖,0.25223,0.74777,0.439488,0
5,马玉兰还在害人,0.438262,0.561738,0.0260843,0
1,嘉嫔算很聪明很有心计的心思缜密，可惜她遇到的是令妃,0.753484,0.246516,0.452187,2
1,什么情况😳,0.324939,0.675061,0.277913,0
5,11集能看吗？,0.48728,0.51272,0.745596,1
1,皇后娘娘抢了皇上的惩罚，看皇上吃瘪的表情。哈哈哈哈,0.731145,0.268855,0.402544,2
3,不是八点更新？,0.117247,0.882753,0.739451,0
1,女人是非多？你看看性别转换男人是非多不多,0.386073,0.613927,0.142059,0
1,脑阔疼脑阔疼未来媳妇真能说,0.556392,0.443608,0.0142048,2
7,皇后最后死了，璎珞为她报仇,0.4399,0.5601,0.0224439,0
6,追剧咯兄弟们,0.586099,0.413901,0.0802195,2
6,突然发觉高贵妃像李宇春[发呆],0.567325,0.432675,0.0385008,2
15,一天才更两集，好慢啊,0.396788,0.603212,0.118249,0
11,还不到八点就更新←_←,0.400778,0.599222,0.109382,0
11,富茶士卫最后因该是和因落在一起了.,0.467619,0.532381,0.352383,1
9,章子男不是章子怡他哥吗？生意做大了！,0.0759439,0.924056,0.831236,0
6,太喜欢开头了,0.564027,0.435973,0.0311722,2
11,嘻嘻嘻，反反复复本宫已经看了八百遍了,0.561132,0.438868,0.0247375,2
17,[鼓掌][鼓掌][鼓掌],0.690287,0.309714,0.311748,2
19,说马玉兰那个别跑！,0.375482,0.624518,0.165596,0
23,高贵妃坏蛋,0.558459,0.441541,0.0187975,2
26,听说是周四到周日每晚更新,0.627092,0.372908,0.171316,2
20,朕说的没错吧闲则声事,0.410279,0.589721,0.0882696,0
19,今晚还更新吗,0.404867,0.595133,0.100297,0
22,这部剧也一样感觉不够看的,0.330123,0.669877,0.266394,0
29,片头主题曲有金枝玉孽的感觉,0.669158,0.330842,0.264796,2
26,什么都得要钱,0.337965,0.662035,0.248966,0
29,真的是多看八集,0.542749,0.457251,0.145024,1
30,超爱片头曲,0.861918,0.138082,0.693152,2
33,原来片头是这样,0.315516,0.684484,0.298853,0
46,傅恒最后死了,0.31752,0.68248,0.2944,0
34,更完了再来看,0.397001,0.602999,0.117775,0
41,喜欢片头，很古典，很有质感，于正导演用心了,0.970705,0.0292952,0.9349,2
42,有那年花开月正圆的感觉,0.668485,0.331515,0.263299,2
46,追剧要人命,0.516447,0.483553,0.671062,1
48,唯一每集都看片头,0.696147,0.303853,0.324771,2
49,有步步惊心的感觉,0.685548,0.314452,0.301218,2
52,看了一天，从第一集到十二集,0.586717,0.413283,0.0815939,2
53,更得太慢了，捉急,0.161375,0.838625,0.641389,0
62,洪尧不是那个参加相亲节目的吗,0.1254,0.8746,0.721332,0
54,靠，我以为一天更十集哈哈,0.806417,0.193583,0.569815,2
63,我眼睛有点疼,0.296717,0.703283,0.340629,0
58,这么多集为什么不多放点,0.29459,0.70541,0.345354,0
63,一口气十二集,0.7091,0.2909,0.353554,2
63,为什么我没有高贵妃,0.370412,0.629588,0.176862,0
64,编剧就是于正，谁说不是的,0.250409,0.749591,0.443536,0
65,中国文化真是博大精深,0.48713,0.51287,0.742604,1
67,随便都是美的,0.708361,0.291639,0.351913,2
69,一口气12集,0.716767,0.283233,0.370594,2
74,不错不错，,0.888728,0.111272,0.752729,2
77,好喜欢这个开头,0.841634,0.158366,0.648076,2
78,好想看变成令妃的样子,0.71223,0.28777,0.360512,2
78,主题曲画面做的不错,0.888934,0.111066,0.753187,2
64,都好有气质啊,0.842994,0.157006,0.651098,2
77,为什么我11集看不了尴尬,0.196896,0.803104,0.562452,0
81,还想看，快点更新,0.554038,0.445961,0.00897434,2
82,虽然都是p的，但是真的很美,0.745784,0.254216,0.435075,2
83,这个片头做的好好,0.638694,0.361306,0.197098,2
84,念得这一段太像历史了,0.534561,0.465438,0.308771,1
80,这个有多符合历史，原谅我还珠格格看多了,0.854714,0.145286,0.677142,2
85,导演不是于正哦。,0.393618,0.606382,0.125294,0
87,快点呀，我还想看节目呢。,0.705793,0.294207,0.346206,2
